species,location,c1_m,c1_sd,c1_lb,c1_ub,c2_m,c2_sd,c2_lb,c2_q3,n1_m,n1_sd,n1_lb,n1_ub,n2_m,n2_sd,n2_lb,n2_ub,p1_m,p1_sd,p1_lb,p1_ub,p2_m,p2_sd,p2_lb,p2_ub,ac_m,ac_sd,ac_lb,ac_ub,an_m,an_sd,an_lb,an_ub,ap_m,ap_sd,ap_lb,ap_ub,family,n_ae1,n_ae2
Chaetodon reticulatus,Mangareva,40.547850527393166,2.831752420965315,34.37692450805306,46.19298378654223,27.20432536498815,1.4072494985117519,24.38372303236803,29.927042664664317,6.58712556032052,1.1305198682207118,4.268043535305389,8.852938518737934,3.3025388760218326,0.3014695015741146,2.6895008693845734,3.9004281253785695,1.0343927199763583,0.4944957421019055,0.3852542719884072,2.210672961702596,0.34997597791827034,0.02453128746866481,0.30035664848931803,0.3982163045022942,0.32574589933019427,0.05950170511957329,0.1903844141265684,0.43156839830410454,0.4830279490145398,0.10639692219567652,0.2069571179963216,0.646253888918094,0.5824563425410264,0.19627768279869204,0.10202044680481584,0.8412206552203499,Chaetodontidae,4,9
Chaetodon reticulatus,Moorea,39.973741350478335,0.8383075935423451,38.340718490089905,41.68190608243237,29.248829224862,0.542888980737931,28.186863162161515,30.318129898028356,7.529370706144085,0.2604106889715486,7.022061049408323,8.05592278049585,3.7166590004874216,0.13252983834246523,3.467590708420594,3.9963471947208378,1.1382470383202112,0.21344058786975215,0.8272721486962358,1.6292229881987035,0.9085996174127866,0.12021786708792283,0.7125925364271425,1.1645744055333072,0.26797954278134944,0.020418507474279837,0.2269943962908146,0.30688301401205353,0.5057979880081406,0.024379104952046527,0.45525713452635747,0.550729578344719,0.1868162546072249,0.11312757416321141,0.013502621228610621,0.43121969591528764,Chaetodontidae,21,29
Chaetodon reticulatus,Tetiaroa,38.051552365537106,1.0981797788034393,35.78389130056232,40.10815887486698,27.218414329932433,1.691070625820027,23.804247158384086,30.579191412229243,7.488632651671186,0.2562780746828761,6.940163331863214,7.974832152209098,3.807037363165811,0.4756978953347836,2.8445009666218124,4.786622546712331,1.1887348334700993,0.21291682265743198,0.8192127288498684,1.6593602064354493,0.9545405002230388,0.19067813478641876,0.5395305784410586,1.293936022265766,0.2840738805591581,0.049494051629124486,0.18401093303699712,0.3815460337409618,0.49105488156363514,0.06577677338818758,0.3550605046764674,0.6230358057647465,0.18876357668184093,0.13822319452956597,0.008451671549968301,0.5171440661816704,Chaetodontidae,7,9
Chaetodon vagabundus,Moorea,42.63545758895549,0.9556804298559135,40.72008383317078,44.50817791325216,34.71622111113175,1.9205179440556361,30.745703999138396,38.42880565840698,7.438925488770557,0.2634079049565936,6.922563892873409,7.9681140161680295,5.457798119405144,0.41815282407020204,4.581465958125902,6.256788975040292,0.8395236414908022,0.06741821626206877,0.7131816463543833,0.9830088909721166,0.7130350728654199,0.1189913565621495,0.4277927446589187,0.8975315512795206,0.18535632352926906,0.0482228846177077,0.09075892592463101,0.2845793316661635,0.26541575155343383,0.06183873988909669,0.14164366402787495,0.38676848531998853,0.15027936191268804,0.12787089727207593,0.005556842954491863,0.4760904141210609,Chaetodontidae,11,8
Cheilinus chlorourus,Moorea,23.10015379083639,2.4166761968806947,19.114554653392794,28.54336551474491,20.68276459093295,2.874740849775085,13.697501520924519,25.329271764434566,3.2879797438495295,0.7900421308827414,1.9163038589825967,5.074318765027086,2.3252645591392342,0.7297877367786231,0.6575331537877257,3.63946498982898,0.5355765434469402,0.21190654028578346,0.1681339747607937,1.003245072372709,0.3076442045239418,0.1822080378122472,0.021959968068010455,0.7025621448940953,0.10345167804522276,0.099037421327588,0.003545278559679931,0.37079818605759024,0.2835884553260773,0.19671430218940494,0.01418207215068123,0.7662804897731514,0.42386811009924213,0.25846727209758563,0.0254431263691156,0.9393514595812081,Labridae,6,5
Chlorurus spilurus,Mangareva,24.806556930975347,2.641031334059706,20.57888653975471,30.81450317760449,20.91177396779138,1.4907112329161714,17.93295051164322,23.909406273366635,2.8278273084018393,0.7763251318062498,1.5056225919210469,4.602373858097741,1.9669424639216235,0.7200536409362485,0.5772075981973398,3.4614964380808884,0.2835802724699901,0.04153256493399084,0.21555833358697013,0.3761055909415234,0.21039208706094664,0.017370128879909713,0.17856595855292906,0.24801743259729425,0.14963041911821298,0.08945450415433746,0.011103455324439765,0.3460858881020795,0.2965239645888069,0.20163812869133588,0.014873614289336305,0.7525929753079567,0.24397101057056725,0.11421521994505622,0.029033444318158994,0.4623554461745255,Scaridae,7,13
Chlorurus spilurus,Moorea,22.400058548410527,2.001932212413382,19.647632444220974,27.021236255066594,20.201550197202188,0.9003107168293157,18.486080124704657,22.047381456849003,3.378388091095889,1.5310225637816288,1.4199580809495072,6.945657759649042,1.504212481535427,0.340173650233679,0.9664633177858052,2.308616220149466,0.27673119903209686,0.050165993290310344,0.1976800296169999,0.39616778275712716,0.20967251404857898,0.033997701834020407,0.13953064031615994,0.2719877822036165,0.09280798276249873,0.06965562559609283,0.004313046276722102,0.2573473663126953,0.4751294339837112,0.21273795705123338,0.05125260977294851,0.8082704656666511,0.22755284078520813,0.1396824200987511,0.014514588800376822,0.5278375916831097,Scaridae,6,11
Chlorurus spilurus,Tetiaroa,25.719354977337527,2.6862551071530594,20.775612462181357,31.42405916646413,19.099426374715122,3.1326811654600695,12.601865226438239,25.057363453855615,3.1919435781353265,0.7190070533284375,1.9469647481651198,4.868943247011683,1.6165415256022717,0.6484823589993182,0.5119152639506743,3.1580822773522543,0.912564451059743,0.2304203221001831,0.4847343912359494,1.3928514206345104,0.4674377674732735,0.15809439743511028,0.15292422837919764,0.7908443665482047,0.2521413004396664,0.12864017046334986,0.027527312925179282,0.515324070606692,0.4816965152419589,0.19417947348976275,0.07457418227583504,0.8436013056914919,0.4648683534076092,0.19638406106122808,0.06225371360257618,0.8248549727674734,Scaridae,10,7
Chromis xanthura,Moorea,44.31841340214645,1.3224404512214214,41.92932860667222,47.21375304874131,41.15076569554938,1.2763678994400927,38.50977396515472,43.55049548102935,8.787958740080906,0.43276610825350625,7.782524628640395,9.54971411687086,6.999647569208593,0.5243249559564047,5.98304800998244,8.059517624586308,1.3100653519139438,0.10817775848420572,1.0862883355233988,1.5133592481004774,0.9193384226454816,0.33476698581261394,0.15373909200009078,1.39043606390608,0.0707802314740926,0.036676101542907125,0.007897922490653764,0.14801177564186957,0.201595557304418,0.0711149966219113,0.047461014932686174,0.3338042071451071,0.3010509887168472,0.24273097187232942,0.009640477822367493,0.8779182280250899,Pomacentridae,14,14
Ctenochaetus striatus,Mangareva,16.515536840924746,1.3329771518073192,14.790299220431557,19.715650859022578,15.03894715590109,0.5283883887874211,13.918116317548598,16.026758491976413,0.47824959311158294,0.3461771897621391,0.09773439449965665,1.2225524201143627,0.36905509186635543,0.2749832079258421,0.021002634002496513,0.836907011614685,0.15073677897802518,0.012718494763738389,0.13498178714031328,0.18221495219821904,0.14265866221654205,0.013615994370108339,0.11452865211818479,0.16831238709605761,0.08478212352909749,0.0647911842329616,0.0036003511190803965,0.23931875030818664,0.2664048718456456,0.22955219745866853,0.007607997837636042,0.8557103605063013,0.05295463195259088,0.05934571246410298,0.001489597156764403,0.21326212943462378,Acanthuridae,6,8
Ctenochaetus striatus,Moorea,17.024910640633987,1.0930221322034253,15.175218400614574,19.468838188851976,16.256877295311728,1.0773451942628265,14.033047434399371,18.279617405923382,1.3750656507269858,0.43580581618901554,0.6630131036444683,2.3692124029035133,1.0295640980018375,0.34932625898849934,0.34108348007548595,1.7115805970403055,0.10205402787609535,0.03616067409577098,0.05281391083531494,0.18845505682152314,0.08575859159913654,0.035838979404227936,0.023502527881156605,0.16334984044578132,0.04433573493797381,0.04246324753148003,0.0013084276286942317,0.15188231299814003,0.24096643318224292,0.1771861984428561,0.010332437793098307,0.6653696231314403,0.17117996255585707,0.16907790264806544,0.004480048215397069,0.6401342910013401,Acanthuridae,8,11
Ctenochaetus striatus,Tetiaroa,14.155620428840319,0.39862255248786443,13.465708038739118,14.988988983274256,12.87767127545827,1.3913138742322622,9.27140210900792,14.553667602619344,0.9013900913722468,0.2034701020419231,0.5689460921320778,1.347857858860693,0.7369916272709388,0.24453443962672222,0.23371355161474253,1.2286042508379451,0.17795389284812058,0.02675258266680252,0.13256947382916998,0.24052022561709396,0.14529778395697565,0.039800098662098174,0.05539875552175872,0.21814821058481906,0.09057663163589157,0.09252238406923763,0.002291301792259361,0.3350268122930842,0.18966147381273868,0.17654266443323055,0.006856095353910057,0.6781135395896796,0.18720960371274947,0.1746312747079763,0.0063170411257031855,0.6647762291370305,Acanthuridae,10,9
Dascyllus flavicaudus,Mangareva,44.35389252901799,3.725523717993534,36.739545933767786,52.05128516995099,30.776228952286147,6.539654430285471,16.4281611210522,42.29220990966443,8.74824051790976,1.3197615168545245,5.670853210847565,11.054079196943396,4.628298813926242,1.7017193932007992,1.165361514781776,8.049385800137934,1.789557364546003,0.5629764449729519,0.7696479150670835,3.02615239951038,1.2101773045029198,0.46054496496357133,0.21080338918027683,2.0168346248472164,0.3032210286425146,0.1493772286329632,0.0418027441612883,0.633248808403505,0.4629427599401167,0.1996930872430666,0.06772582709119375,0.8647495082687632,0.3132222611950696,0.21229299484106395,0.020637812981386176,0.8235495093234103,Pomacentridae,4,4
